"scenario","gamma","omega","method","method_label","step","metric","n","mean","sd","se","ci_low","ci_high","method_label_paper","total_evaluated"
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",4,"standardized_regret",30,0.964692219739009,0.418594302226172,0.0764245139241365,0.808386538475782,1.12099790100224,"Hamming",24
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",5,"standardized_regret",30,0.916017329807887,0.419484975567357,0.0765871278842482,0.759379065653214,1.07265559396256,"Hamming",25
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",6,"standardized_regret",30,0.857811763087735,0.426439461180812,0.0778568374330265,0.698576651327002,1.01704687484847,"Hamming",26
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",7,"standardized_regret",30,0.79358580822992,0.416989511050531,0.0761315204818086,0.637879365839892,0.949292250619948,"Hamming",27
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",8,"standardized_regret",30,0.774007163242679,0.4242014373885,0.0774482320612655,0.615607743300206,0.932406583185151,"Hamming",28
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",9,"standardized_regret",30,0.763447671992049,0.426398593731563,0.0778493760917527,0.604227820387659,0.922667523596438,"Hamming",29
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",10,"standardized_regret",30,0.694558025336222,0.38146530009172,0.0696457165885708,0.552116541321703,0.83699950935074,"Hamming",30
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",11,"standardized_regret",30,0.670044712553221,0.385903548677014,0.0704560262105645,0.525945959280496,0.814143465825946,"Hamming",31
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",12,"standardized_regret",30,0.632127250149092,0.336388182565644,0.0614157985564565,0.506517838446176,0.757736661852008,"Hamming",32
"g100_w050",1,0.5,"unrestricted_hamming","Unrestricted Hamming maximin",13,"standardized_regret",30,0.606944796145587,0.306253182605997,0.0559139254736845,0.492587978358809,0.721301613932366,"Hamming",33
