"candidate","k_min","k_m2","A","B","Phi050","nearest_pair_multiplicity","pair_indices","design_sha256"
911,1,13.2727272727273,0,0.625,0.3125,12,"5;6;9;10;11;12","eb8d86759f754bff21b2f152d91da5db0c6aebe8c03eede71746437cff554a6d"
912,1,12.8484848484848,0,0.770833333333334,0.385416666666667,8,"5;7;8;9;10;11","0029767de5e86e94e1a4ceb46e82a0b59ed26596b0a6ba17ce069c13375afc94"
913,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"5;7;8;9;10;12","6acbc6e9070988dbaab3f4fed66d72d87d7a378e4615156f04ed779436b97fc4"
914,1,13.0909090909091,0,0.6875,0.34375,10,"5;7;8;9;11;12","3b8da1a3a4ce8e373c1f2ace85df683dfca887f45980132bc249d238bb8f66e9"
915,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"5;7;8;10;11;12","37d652321ba5ec5d03c87c0aea90ce97d2c4af9f3912eb57e130726a948dc018"
916,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"5;7;9;10;11;12","a6db646933b8b7433d978ea46a2487011026a96d1a8f095187a2723e521b95ff"
917,1,13.0909090909091,0,0.6875,0.34375,10,"5;8;9;10;11;12","8c63926f721931460aecccb24f9620929218fb6fdc8cf841d20a9cdf9e1cb24a"
918,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"6;7;8;9;10;11","0e571fcb42f6562fd8597b6276846962a7c2b8ea5dcaa035219a405b190d87c8"
919,1,13.0909090909091,0,0.6875,0.34375,10,"6;7;8;9;10;12","3f230dcfef33b8b41dd79964abc7df5cc9a48b5efc55cea2e29cac408bbe72b5"
920,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"6;7;8;9;11;12","57985482fdb497464b4366a78ebd522742d173df4e6f5dfedddaf7ff5d0a353d"
921,1,12.8484848484848,0,0.770833333333334,0.385416666666667,8,"6;7;8;10;11;12","bc8637b44e3a76a9895cb2ea55e1b38ffb8acc31e2b87df1f5de049d2f2a5df9"
922,1,13.0909090909091,0,0.6875,0.34375,10,"6;7;9;10;11;12","79789445321799b9e8649bb02cdb3aaddf4ba4570a2d9226fd12f2ada7faf54d"
923,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"6;8;9;10;11;12","436b938b031030706d07678eda5927a0965e6d52337c066c24e00c953bb18763"
924,1,13.2727272727273,0,0.625,0.3125,12,"7;8;9;10;11;12","f7063c48eae4b31a40d6a6b3baff34ba8f5903d56105a3de19bc5c299ad30da6"
