"entry_id","method","design_seed_id","stochastic","m","n","design_sha256","initial_design_sha256","initial_seed","move_seed","initial_rank_retry","design_rank_retry","target_lambda","target_geometry","strict_foldover","phi_valid","A","B","Phi","kendall_min","kendall_mean_sq","hamming_min","hamming_mean_sq","position_l2_min","position_l2_mean_sq","pwo_rank","pwo_columns","n_obj_eval","total_obj_eval_including_rank_retries","budget_exhausted","inference_role"
"seed03__Exact_Phi_lambda050","Exact_Phi_lambda050",3,FALSE,4,12,"12c49faf00495200afbe9c71b65dd8609d4952a9e722cbac49a856dd75d16fc8",NA,NA,NA,0,0,0.5,"kendall_weighted_strict_foldover",TRUE,TRUE,0.5,0.9375,0.71875,2,12.3636363636364,3,10.9090909090909,2,10.9090909090909,7,7,924,924,TRUE,"fixed_design_descriptive_repeated_only_for_alignment"
"seed03__Unrestricted_Hamming","Unrestricted_Hamming",3,TRUE,4,12,"b230a2e52fbdd27ae93b18205f49c4506c599c29063f42c65f161da958daf5c7","90eb6a1604cda2e1a28643ab476f34bc869bfb124e0e3243769d8005d76792a5",1025754929,451227229,0,0,NA,"hamming",FALSE,FALSE,NA,NA,NA,1,12.2878787878788,2,11.3030303030303,1.4142135623731,10.9090909090909,7,7,6000,6000,TRUE,"paired_Monte_Carlo_by_design_seed"
"seed03__Unrestricted_Position_L2","Unrestricted_Position_L2",3,TRUE,4,12,"0737e11f719d5023daae8a5e48238021d328e521efff4cdd633314787914cac5","90eb6a1604cda2e1a28643ab476f34bc869bfb124e0e3243769d8005d76792a5",1025754929,451227229,0,0,NA,"l2_position",FALSE,FALSE,NA,NA,NA,1,12.1666666666667,2,10.7272727272727,1.4142135623731,10.9090909090909,7,7,6000,6000,TRUE,"paired_Monte_Carlo_by_design_seed"
"seed03__OofA_OA","OofA_OA",3,FALSE,4,12,"5fb1aff3a8a8f83f0b288115e422acda4488658fce87aba3218e7b4afa33265f",NA,NA,NA,0,0,NA,"OofA-OA(12,4,2)",FALSE,FALSE,NA,NA,NA,1,12.1818181818182,2,11.2727272727273,1.4142135623731,10.9090909090909,7,7,0,0,NA,"fixed_design_descriptive_repeated_only_for_alignment"
"seed03__SRS","SRS",3,TRUE,4,12,"90eb6a1604cda2e1a28643ab476f34bc869bfb124e0e3243769d8005d76792a5","90eb6a1604cda2e1a28643ab476f34bc869bfb124e0e3243769d8005d76792a5",1025754929,NA,0,0,NA,"uniform_without_replacement_conditional_on_full_PWO_rank",FALSE,FALSE,NA,NA,NA,1,12.2272727272727,2,10.5606060606061,1.4142135623731,10.7575757575758,7,7,0,0,NA,"paired_Monte_Carlo_by_design_seed"
"seed04__Exact_Phi_lambda050","Exact_Phi_lambda050",4,FALSE,4,12,"12c49faf00495200afbe9c71b65dd8609d4952a9e722cbac49a856dd75d16fc8",NA,NA,NA,0,0,0.5,"kendall_weighted_strict_foldover",TRUE,TRUE,0.5,0.9375,0.71875,2,12.3636363636364,3,10.9090909090909,2,10.9090909090909,7,7,924,924,TRUE,"fixed_design_descriptive_repeated_only_for_alignment"
"seed04__Unrestricted_Hamming","Unrestricted_Hamming",4,TRUE,4,12,"41a18a92b03ad63bdca66482f65cecb728da70804b32a0c33e6043b3e4fc4990","220f57e05105dff8062cd806c9e1f02dd75cc5df0724ef2f9806c18ae0c6b5cb",251051482,364876541,0,2,NA,"hamming",FALSE,FALSE,NA,NA,NA,1,12.3030303030303,2,11.3939393939394,1.4142135623731,10.9090909090909,7,7,6000,18000,TRUE,"paired_Monte_Carlo_by_design_seed"
"seed04__Unrestricted_Position_L2","Unrestricted_Position_L2",4,TRUE,4,12,"96c28f024b23400ae9e6ad4a8e66852d0f7ed026613f946efcd1a0e61852100a","220f57e05105dff8062cd806c9e1f02dd75cc5df0724ef2f9806c18ae0c6b5cb",251051482,364876539,0,0,NA,"l2_position",FALSE,FALSE,NA,NA,NA,1,12.1666666666667,2,10.5757575757576,1.4142135623731,10.9090909090909,7,7,6000,6000,TRUE,"paired_Monte_Carlo_by_design_seed"
"seed04__OofA_OA","OofA_OA",4,FALSE,4,12,"5fb1aff3a8a8f83f0b288115e422acda4488658fce87aba3218e7b4afa33265f",NA,NA,NA,0,0,NA,"OofA-OA(12,4,2)",FALSE,FALSE,NA,NA,NA,1,12.1818181818182,2,11.2727272727273,1.4142135623731,10.9090909090909,7,7,0,0,NA,"fixed_design_descriptive_repeated_only_for_alignment"
"seed04__SRS","SRS",4,TRUE,4,12,"220f57e05105dff8062cd806c9e1f02dd75cc5df0724ef2f9806c18ae0c6b5cb","220f57e05105dff8062cd806c9e1f02dd75cc5df0724ef2f9806c18ae0c6b5cb",251051482,NA,0,0,NA,"uniform_without_replacement_conditional_on_full_PWO_rank",FALSE,FALSE,NA,NA,NA,1,10.7878787878788,2,10.6060606060606,1.4142135623731,9.90909090909091,7,7,0,0,NA,"paired_Monte_Carlo_by_design_seed"
"seed05__Exact_Phi_lambda050","Exact_Phi_lambda050",5,FALSE,4,12,"12c49faf00495200afbe9c71b65dd8609d4952a9e722cbac49a856dd75d16fc8",NA,NA,NA,0,0,0.5,"kendall_weighted_strict_foldover",TRUE,TRUE,0.5,0.9375,0.71875,2,12.3636363636364,3,10.9090909090909,2,10.9090909090909,7,7,924,924,TRUE,"fixed_design_descriptive_repeated_only_for_alignment"
"seed05__Unrestricted_Hamming","Unrestricted_Hamming",5,TRUE,4,12,"ead68158444d24451874c63f9a1bf712899413c83922c378680c71d29f0cd2dc","256de6977dd74f299307f9065a07d96264e1a5769c45fc48ab8b4365d5bb5524",1623831664,278525849,0,0,NA,"hamming",FALSE,FALSE,NA,NA,NA,1,12.2878787878788,2,11.3030303030303,1.4142135623731,10.9090909090909,7,7,6000,6000,TRUE,"paired_Monte_Carlo_by_design_seed"
"seed05__Unrestricted_Position_L2","Unrestricted_Position_L2",5,TRUE,4,12,"23a0050184f98a595d0e7e001bedbff1780d290d8679553f8ae9585ff270e763","256de6977dd74f299307f9065a07d96264e1a5769c45fc48ab8b4365d5bb5524",1623831664,278525849,0,0,NA,"l2_position",FALSE,FALSE,NA,NA,NA,1,12.2272727272727,2,10.5454545454545,1.4142135623731,10.9090909090909,7,7,6000,6000,TRUE,"paired_Monte_Carlo_by_design_seed"
"seed05__OofA_OA","OofA_OA",5,FALSE,4,12,"5fb1aff3a8a8f83f0b288115e422acda4488658fce87aba3218e7b4afa33265f",NA,NA,NA,0,0,NA,"OofA-OA(12,4,2)",FALSE,FALSE,NA,NA,NA,1,12.1818181818182,2,11.2727272727273,1.4142135623731,10.9090909090909,7,7,0,0,NA,"fixed_design_descriptive_repeated_only_for_alignment"
