"m","n","lambda","k_min_mean","k_min_sd","k_min_se","k_ave_mean","k_ave_sd","k_ave_se","k_m2_mean","k_m2_sd","k_m2_se","A_mean","A_sd","A_se","B_mean","B_sd","B_se","phi_lambda_mean","phi_lambda_sd","phi_lambda_se","elapsed_sec_mean","elapsed_sec_sd","elapsed_sec_se","n_iter_mean","n_iter_sd","n_iter_se","n_runs"
5,25,0.8,2,0,0,5.2,0,0,30.868,0.155876694408269,0.0348550884804852,0.25,0,0,0.962829527349973,0.0119204694608554,0.0026654980038183,0.392565905469995,0.00238409389217109,0.000533099600763661,0.0600499999999995,0.00971962204160121,0.00217337356006256,6000,0,0,20
5,25,0.9,2,0,0,5.2,0,0,30.8326666666667,0.0736960725623224,0.016478942792411,0.25,0,0,0.965531598513011,0.00563581224055997,0.00126020592783175,0.321553159851301,0.000563581224055995,0.000126020592783175,0.0578499999999982,0.0088690769709012,0.0019831859004613,6000,0,0,20
5,25,1,1.95,0.223606797749979,0.05,5.2,0,0,31.139,0.227143718834239,0.0507908795975457,0.2375,0.0559016994374947,0.0125,0.942105151354222,0.0173705233734096,0.00388416710676929,0.2375,0.0559016994374947,0.0125,0.0598000000000005,0.0112698946896495,0.00252002506253202,6000,0,0,20
10,10,0,19.1,0.552506251453083,0.123544153624268,25,0,0,677.968888888889,0.830803958629116,0.185773412747063,0.861904761904762,0.0263098214977658,0.00588305493448897,0.834761255115962,0.00170014452652616,0.000380163873288668,0.834761255115962,0.00170014452652616,0.000380163873288668,-0.0113,0.218187051572004,0.0487881079125254,6000,0,0,20
10,10,0.1,19.25,0.444261658319319,0.0993399267798783,25,0,0,678.315555555556,0.846522527676354,0.189288191636927,0.869047619047619,0.0211553170628247,0.00473047270380373,0.834051841746248,0.00173231076604984,0.000387356463104217,0.837551419476385,0.00297920406186787,0.000666170280118005,0.039599999999999,0.00561389254205025,0.00125530453424035,6000,0,0,20
10,10,0.2,19.25,0.444261658319319,0.0993399267798783,25,0,0,678.253333333333,1.10718370223163,0.24757380217698,0.869047619047619,0.0211553170628247,0.00473047270380373,0.834179172351069,0.00226572381084235,0.000506631245928338,0.841152861690379,0.00547844936047712,0.00122501851813171,0.0393500000000009,0.00531408258161318,0.00118826498905346,6000,0,0,20
10,10,0.3,19.45,0.51041778553404,0.114132886537902,25,0,0,678.066666666667,0.990664677993268,0.221519356290089,0.878571428571429,0.0243056088349543,0.00543489935894773,0.83456116416553,0.00202728106001351,0.000453313825968804,0.847764243487299,0.00768192445373434,0.00171773052765679,0.0385999999999995,0.00562325996478603,0.00125739915364146,6000,0,0,20
10,10,0.4,19.25,0.444261658319319,0.0993399267798783,25,0,0,678.208888888889,0.755569315320184,0.16895043507689,0.869047619047619,0.0211553170628247,0.00473047270380373,0.834270122783083,0.00154618550201948,0.000345737588834019,0.848181121288898,0.00881590115832994,0.00197129542729449,0.0385499999999997,0.00684778104667296,0.00153121039153954,6000,0,0,20
10,10,0.5,19.4,0.502624689950035,0.112390297389803,25,0,0,677.862222222222,0.637799987387624,0.142616412784724,0.876190476190476,0.0239345090452398,0.00535191892332397,0.834979536152797,0.00130518414881507,0.000291848047990569,0.855585006171636,0.0122632890039233,0.00274215478404982,0.0387500000000011,0.0061376748554792,0.00137242582006427,6000,0,0,20
10,10,0.6,19.45,0.51041778553404,0.114132886537902,25,0,0,677.888888888889,0.637082368394835,0.142455948299741,0.878571428571429,0.0243056088349543,0.00543489935894773,0.834924965893588,0.0013037156242732,0.000291519675920346,0.861112843500292,0.014830677355992,0.00331624027203649,0.0383500000000004,0.00665127609442057,0.00148727054842437,6000,0,0,20
10,10,0.7,19.25,0.444261658319319,0.0993399267798783,25,0,0,678.226666666667,0.983756310390239,0.219974598332696,0.869047619047619,0.0211553170628247,0.00473047270380373,0.834233742610277,0.00201314388210827,0.000450152656888192,0.858603456116417,0.0150581390924507,0.00336710226253667,0.0399500000000007,0.00572597957604333,0.00128036795698083,6000,0,0,20
10,10,0.8,19.5,0.512989176042577,0.114707866935281,25,0,0,677.897777777778,0.82275626721628,0.183973894240958,0.880952380952381,0.0244280560020275,0.00546227937787052,0.834906775807185,0.00168367585378502,0.00037648136611383,0.871743259923342,0.0197495376315523,0.00441613086683411,0.0391999999999988,0.0066459326698839,0.00148607572237471,6000,0,0,20
10,10,0.9,19.25,0.550119604220181,0.12301048307916,25,0,0,678.075555555556,0.828799361767536,0.185325171262065,0.869047619047619,0.0261961716295324,0.0058576420513886,0.834542974079127,0.00169604235013821,0.000379246598762754,0.86559715455077,0.0236718183828582,0.00529317950551,0.0377,0.00648966790164668,0.00145113385794804,6000,0,0,20
