"experiment","m","n","lambda","rep","seed","design_path","objective","n_iter","elapsed_sec","k_min","k_ave","k_m2","A","B","phi_lambda","C1","C2","U2"
"distance",10,30,0.2,1,52159808,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n030_lambda020_rep01.rds",0.868244847793166,6000,0.109,13,23.2758620689655,581.868965517241,0.571428571428571,0.942448916884314,0.868244847793166,22,556.034482758621,1004.93103448276
"distance",20,60,0.2,1,1503986573,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n060_lambda020_rep01.rds",0.897924048329285,6000,0.479000000000001,58,96.6101694915254,9674.92881355932,0.606382978723404,0.970809315730755,0.897924048329285,95,9419.49152542373,18170.1355932203
"distance",5,20,0.2,1,1914019875,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n020_lambda020_rep01.rds",0.813979057591623,6000,0.0390000000000006,2,5.26315789473684,31.3052631578947,0.25,0.954973821989529,0.813979057591623,5,30.7017543859649,44.1052631578947
"distance",10,40,0.2,1,2061174435,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n040_lambda020_rep01.rds",0.861738556918612,6000,0.174,11,23.0769230769231,569.88717948718,0.476190476190476,0.958125577100646,0.861738556918612,22,551.282051282051,995.589743589744
"distance",20,80,0.2,1,1227048569,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n080_lambda020_rep01.rds",0.899479831381886,6000,0.863,56,96.2025316455696,9570.77594936709,0.585106382978723,0.978073193482677,0.899479831381886,95,9379.74683544304,18091.8734177215
"distance",5,25,0.2,1,2039878837,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n025_lambda020_rep01.rds",0.817082315454063,6000,0.132,2,5.2,30.92,0.25,0.958852894317578,0.817082315454063,5,30.3819444444444,43.4583333333333
"distance",10,50,0.2,1,1922705433,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n050_lambda020_rep01.rds",0.85561908283047,6000,0.19,10,22.9591836734694,565.081632653061,0.428571428571429,0.962380996395231,0.85561908283047,22,548.469387755102,990.061224489796
"distance",20,100,0.2,1,636872241,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n100_lambda020_rep01.rds",0.900061009852015,6000,1.183,55,95.959595959596,9517.16444444444,0.574468085106383,0.981459241038422,0.900061009852015,95,9356.06060606061,18045.2323232323
"distance",5,5,0.3,1,776735499,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n005_lambda030_rep01.rds",0.789233261339093,6000,0.0129999999999999,4,6,40.2,0.75,0.806047516198704,0.789233261339093,5,36.4583333333333,55.75
"distance",10,10,0.3,1,329114973,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n010_lambda030_rep01.rds",0.842608978106932,6000,0.032,19,25,677.177777777778,0.857142857142857,0.836380172805821,0.842608978106932,22,597.222222222222,1085.88888888889
"distance",20,20,0.3,1,2057879742,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n020_lambda030_rep01.rds",0.868521190920498,6000,0.144,73,100,10543.9157894737,0.765957446808511,0.912477081254207,0.868521190920498,95,9750,18820.9473684211
"distance",5,10,0.3,1,2052506038,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n010_lambda030_rep01.rds",0.841136919315403,6000,0.0229999999999997,4,5.55555555555556,34.2222222222222,0.75,0.880195599022005,0.841136919315403,5,32.4074074074074,47.5555555555556
"distance",10,20,0.3,1,190645971,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n020_lambda030_rep01.rds",0.831823610473128,6000,0.165999999999999,14,23.6842105263158,601.073684210526,0.619047619047619,0.923013321084061,0.831823610473128,22,565.789473684211,1024.10526315789
"distance",20,40,0.3,1,1780941738,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n040_lambda030_rep01.rds",0.869399380063432,6000,0.279,64,97.4358974358974,9899.3641025641,0.670212765957447,0.95476507182314,0.869399380063432,95,9500,18328.6666666667
"distance",5,15,0.3,1,30881371,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n015_lambda030_rep01.rds",0.737404092071611,6000,0.0310000000000006,2,5.33333333333333,32,0.25,0.946291560102302,0.737404092071611,5,31.25,45.2142857142857
"distance",10,30,0.3,1,52176969,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n030_lambda030_rep01.rds",0.820613948452326,6000,0.108000000000001,12,23.2758620689655,579.459770114943,0.523809523809524,0.947815844727813,0.820613948452326,22,556.034482758621,1004.93103448276
"distance",20,60,0.3,1,1504003734,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n060_lambda030_rep01.rds",0.860450439668837,6000,0.498000000000001,58,96.6101694915254,9687.81694915254,0.606382978723404,0.969336494359737,0.860450439668837,95,9419.49152542373,18170.1355932203
"distance",5,20,0.3,1,1914037036,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n020_lambda030_rep01.rds",0.742382198952879,6000,0.0370000000000008,2,5.26315789473684,31.3263157894737,0.25,0.953403141361256,0.742382198952879,5,30.7017543859649,44.1052631578947
"distance",10,40,0.3,1,2061191596,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n040_lambda030_rep01.rds",0.828945719562063,6000,0.178999999999999,12,23.0769230769231,569.179487179487,0.523809523809524,0.95971837488458,0.828945719562063,22,551.282051282051,995.589743589744
"distance",20,80,0.3,1,1227065730,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n080_lambda030_rep01.rds",0.865587716889689,6000,0.867,58,96.2025316455696,9582.95316455696,0.606382978723404,0.976675461818097,0.865587716889689,95,9379.74683544304,18091.8734177215
